county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
JONES ,7819,5802,321,1610,86,0500000US48253,7876,5726,293,1676,181,7914,5740,296,1695,183,7560,5510,289,1577,184,7819,5802,321,1610,86
KARNES ,5982,2747,101,3075,59,0500000US48255,6064,2770,98,3126,70,6357,2885,104,3294,74,6100,2752,95,3176,77,5982,2747,101,3075,59
KAUFMAN ,52539,37239,5838,8573,889,0500000US48257,53517,37192,5680,9052,1593,54310,37639,5756,9298,1617,55336,37800,5884,9940,1712,52539,37239,5838,8573,889
KENDALL ,17111,13475,69,3349,218,0500000US48259,17711,13739,61,3534,377,18152,14026,67,3673,386,19438,15021,62,3948,407,17111,13475,69,3349,218
KENEDY ,204,46,2,152,4,0500000US48261,213,49,1,157,6,221,51,1,162,7,201,50,1,146,4,204,46,2,152,4
KENT ,416,353,4,56,3,0500000US48263,418,352,6,54,6,432,360,7,57,8,402,340,3,54,5,416,353,4,56,3
KERR ,25557,18940,352,5896,369,0500000US48265,25685,18721,300,6042,622,25903,18785,299,6189,630,26166,18913,307,6293,653,25557,18940,352,5896,369
KIMBLE ,2326,1773,4,527,22,0500000US48267,2338,1771,4,532,31,2370,1793,4,541,32,2350,1774,4,542,30,2326,1773,4,527,22
KING ,145,130,0,15,0,0500000US48269,142,125,0,13,4,149,130,0,14,5,148,126,0,18,4,145,130,0,15,0
KINNEY ,1643,757,18,851,17,0500000US48271,1671,753,16,876,26,1691,762,16,886,27,1668,741,18,881,28,1643,757,18,851,17
KLEBERG ,15724,3581,474,11312,357,0500000US48273,15789,3504,455,11372,458,15870,3516,452,11443,459,15654,3403,463,11329,459,15724,3581,474,11312,357
