county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010
WILSON,56.8,65.4,69.9,71.3,70.8,271,321,316,298,255,177,63.9,2,*,92,47.2,209,70.6,3,*,109,57.7,199,74.8,0,-,117,63.6,172,74.8,4,*,122,66.7,141,77,0,-,114,65.5
VAN ZANDT,57,56.1,54.5,57.3,53.4,315,325,302,286,279,265,60.8,4,*,46,46.5,285,59.4,5,*,35,41.7,274,57.7,1,*,27,36.5,256,61.7,3,*,27,35.1,242,57.1,7,*,30,37.5
WISE,57.1,60.2,60.4,61.8,58.1,427,465,443,423,445,346,63.5,4,*,77,39.3,374,65.4,1,*,90,45.2,354,66.7,2,*,87,44.4,334,66.4,2,*,87,49.4,358,64,3,*,84,41.6
CHAMBERS,57.4,68,58.6,64.2,62.6,259,299,256,278,286,197,61.9,14,51.9,48,45.3,216,71.3,11,45.8,72,63.7,173,59.7,16,50,67,58.3,177,64.4,15,62.5,86,64.2,197,65.9,21,50,68,58.6
DALLAS,57.5,56.3,55.7,58.1,56.1,"22,373","21,301","21,034","21,856","21,694","8,114",66.9,"3,893",48.7,"10,366",55.1,"7,656",66.4,"3,687",47,"9,958",54,"7,401",65.2,"3,567",45.6,"10,066",54.1,"7,589",67.8,"3,891",50.1,"10,376",55.5,"7,241",66.5,"3,745",46.2,"10,708",54.3
SCHLEICHER,57.5,56.1,55.3,69.7,70,23,23,21,23,28,6,*,0,-,17,53.1,11,*,0,-,12,42.9,7,*,0,-,14,50,10,*,0,-,13,*,15,71.4,0,-,13,*
KARNES,57.6,55.1,60.8,65.7,62,106,87,96,94,88,41,70.7,1,*,64,52.9,31,64.6,0,-,56,51.4,34,73.9,1,*,61,55,31,70.5,2,*,61,62.9,23,69.7,3,*,62,61.4
TARRANT,57.7,57.2,55.1,55.5,52.1,"16,187","15,667","15,079","15,041","14,413","9,043",68.6,"2,509",52.3,"4,635",46,"9,092",69.5,"2,246",51.3,"4,329",43.6,"9,074",68.7,"2,133",48.9,"3,872",39.4,"8,772",67.3,"2,161",50.5,"4,108",42,"8,566",65.2,"2,041",46.8,"3,806",37.4
LYNN,57.8,61.3,64.6,60,57.7,37,49,51,48,41,22,68.8,0,-,15,50,20,71.4,0,-,29,55.8,26,74.3,0,-,25,58.1,25,67.6,2,*,21,51.2,15,55.6,1,*,25,59.5
NACOGDOCHES,57.8,55.1,64.2,64.2,62.8,508,480,570,582,580,282,63.2,82,49.4,144,53.9,286,64.4,80,47.3,114,44.2,314,74.2,91,46.9,165,60.9,305,67.6,89,52.7,188,65.7,297,68.4,111,49.3,172,64.9
POTTER,57.8,57.5,58.8,57.8,49.2,"1,194","1,187","1,233","1,168","1,023",522,60.9,116,50.4,556,56.9,580,63,120,51.1,487,53.7,579,61.5,101,45.3,553,59.3,569,64.2,100,43.3,499,55.3,546,57.9,93,39.2,384,42.6
FANNIN,57.9,63.6,60.4,53.8,51.9,186,204,192,182,176,166,63.4,5,*,15,31.9,171,67.9,10,*,23,46,165,67.9,6,*,21,33.9,156,58,11,45.8,15,33.3,155,54.6,3,*,18,36.7
HARRIS,57.9,59.2,58.5,58.2,55.6,"38,750","38,294","37,055","36,202","35,703","14,923",66.6,"6,219",52.4,"17,608",53.9,"14,384",68.8,"6,177",53.2,"17,733",55.2,"14,068",67.9,"5,955",52.6,"17,032",54.5,"13,503",68.9,"5,897",52.6,"16,802",53.5,"13,458",68.6,"5,831",50.4,"16,414",49.8
KNOX,58,73.9,64.2,72.9,70.8,40,34,34,35,34,24,75,2,*,14,40,17,73.9,1,*,16,76.2,19,76,2,*,13,54.2,19,79.2,0,-,16,66.7,17,70.8,3,*,14,66.7
COMAL,58.1,62.1,61.2,59,55,817,831,759,677,599,570,64.6,9,*,238,46.8,567,67.8,11,*,253,52,536,66.1,7,*,216,51.7,471,66.3,9,*,197,46.4,419,63.6,6,*,174,41
LAMAR,58.1,64.4,63.2,65.5,62,416,417,407,433,401,328,62.6,58,47.5,30,42.9,340,69.1,51,55.4,26,40.6,322,67.9,53,51.5,32,47.8,335,69.8,72,65.5,26,36.6,305,66.2,61,52.6,35,50
JACK,58.2,70.1,74.2,68.6,68.9,57,68,66,72,73,48,64.9,1,*,8,34.8,55,69.6,0,-,13,*,57,81.4,0,-,9,*,55,68.8,0,-,17,68,59,72,0,-,14,58.3
UPSHUR,58.2,50.2,54.6,56.6,52.7,284,245,249,266,261,235,58.6,20,58.8,29,54.7,214,54.3,16,42.1,15,26.8,209,57.3,14,51.9,26,40.6,226,60.1,16,41,24,43.6,213,53.7,25,56.8,23,42.6
HOCKLEY,58.3,55.9,53.6,59.6,60.5,179,175,195,186,207,84,66.1,9,*,86,50.9,75,63.6,2,*,98,52.1,79,66.4,2,*,114,48.9,74,64.3,4,*,108,57.8,80,66.7,2,*,125,58.1
TRINITY,58.3,68.1,60,65.9,65.3,88,81,66,91,115,72,60,4,*,12,*,68,74.7,9,*,4,*,53,69.7,5,*,8,*,72,66.7,7,*,12,*,85,68.5,11,*,19,59.4
CROSBY,58.4,53.1,64.8,58.1,52.3,52,34,46,43,46,15,57.7,2,*,35,57.4,11,52.4,0,-,23,53.5,13,*,0,-,33,63.5,16,59.3,0,-,27,57.4,10,*,1,*,35,50
COLORADO,58.6,56.8,62.2,63,63.6,153,138,143,148,168,77,68.1,18,52.9,58,50.9,67,67,14,53.8,57,48.7,68,72.3,20,58.8,55,53.9,83,79.8,13,48.1,52,50,91,79.1,26,59.1,51,48.6
GRAY,58.6,68.4,62.6,65,55,198,232,214,210,172,125,64.1,2,*,71,51.8,142,71.4,3,*,87,64.9,123,62.8,5,*,86,61.9,134,66.3,8,*,68,60.7,108,59.7,2,*,62,52.1
RUSK,58.6,59,55.2,61.8,52.7,334,363,378,400,343,227,63.8,35,53.8,72,48.3,237,63.2,51,60.7,75,48.1,248,60.6,52,53.6,78,43.6,276,67.8,45,54.2,79,50.3,244,61.3,41,43.2,58,36.7
EASTLAND,58.8,60.1,58.2,63.9,62.9,127,125,92,133,139,113,60.8,1,*,13,46.4,107,59.4,1,*,17,63,78,57.8,1,*,13,59.1,106,65.4,2,*,25,56.8,112,61.5,2,*,25,69.4
