county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,prenatal_percent_2010_2014
OCHILTREE,47.5,49.1,51.2,53.6,57.9,87,85,85,98,92,53
SMITH,50.1,45.3,54.3,57.3,50,"1,540","1,359","1,456","1,409","1,188",53
REAL,52.8,46.9,51.6,54.5,48.6,19,15,16,18,18,52.8
BROOKS,41.9,47.4,44,46.4,47.4,44,55,44,65,55,52.4
FALLS,53.1,51.2,52.2,41.5,56.1,93,83,82,68,87,52.3
SUTTON,60.4,56.9,48.1,48.2,38.1,32,33,26,27,16,52.3
HUDSPETH,52.9,47.4,42.5,61.5,43.8,18,18,17,32,21,52
MOORE,50.8,52.2,53.8,50.3,45.2,213,226,221,198,177,52
COCHRAN,47.8,37.5,50,49.1,62.3,22,15,24,27,33,51.3
CROCKETT,47.5,50,50,47.6,56.3,29,25,27,30,36,51
PRESIDIO,51.1,42,47.6,34.3,39.6,71,55,50,37,53,51
LIBERTY,47.1,53.6,50.4,47.7,47,497,564,521,462,493,50.7
LIPSCOMB,58.8,42.2,36.4,46.5,54.2,20,19,12,20,32,50
TERRY,48.1,42.9,49.2,54.2,45.5,100,87,97,103,80,49.2
EDWARDS,39.3,23.8,*,56.7,53.8,11,5,10,17,14,49.1
NAVARRO,48.6,49.9,48.6,45.6,45.8,371,333,338,304,305,49
KERR,46.2,44.1,46.2,52.2,50.3,248,215,226,244,252,48.9
GAINES,47.4,45.3,44.9,47.8,50.1,186,173,151,170,170,48
GONZALES,44.3,50.5,49.6,43.3,45.4,141,141,133,119,132,48
SCURRY,56.4,43.8,45.5,40.4,46.1,146,105,122,99,129,47
DICKENS,*,56,*,39.1,61.9,5,14,5,9,13,46.5
BAILEY,40.2,49,50.4,41.9,36.4,37,51,58,54,39,44.7
VAL VERDE,37.8,35.4,40.3,34.7,37.8,325,310,344,296,334,42
