county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,geo_two,GISJOIN,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,geo_two2,GISJOIN2,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,geo2_2,geo_two2_2,GISJOIN2_2,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,geo2_3,geo2,geo_two2_3,GISJOIN2_3,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,geo2_4
SCHLEICHER ,1735,948,15,769,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCURRY ,7893,4809,225,2783,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHACKELFORD ,1746,1557,11,165,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELBY ,12857,8449,2404,1920,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHERMAN ,1486,886,2,589,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ,108289,68184,20679,17418,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMERVELL ,4308,3413,30,806,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARR ,31528,1253,2,30202,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPHENS ,4655,3655,64,901,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STERLING ,567,378,3,178,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONEWALL ,773,635,19,109,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTON ,2099,850,4,1239,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWISHER ,3718,2025,194,1463,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARRANT ,921799,488074,145742,237173,50810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAYLOR ,67478,46208,4926,14665,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRELL ,475,242,1,229,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRY ,5934,2825,197,2888,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROCKMORTON ,834,729,6,86,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
