county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Lamb,64.5,182,*,**,49.5,313,*,13,0500000US48279,Lamb,LAMB,Rural,Non-Border,LAMB
Lampasas,73.3,519,*,12,59.4,174,55.8,24,0500000US48281,Lampasas,LAMPASAS,Urban,Non-Border,LAMPASAS
La Salle,68,34,--,0,56.8,237,*,**,0500000US48283,La Salle,LA SALLE,Rural,Border,LA SALLE
Lavaca,79.7,563,57.6,34,52.8,168,*,**,0500000US48285,Lavaca,LAVACA,Rural,Non-Border,LAVACA
Lee,71.9,353,62,49,61,228,*,10,0500000US48287,Lee,LEE,Rural,Non-Border,LEE
Leon,67.2,453,50,21,43,95,*,**,0500000US48289,Leon,LEON,Rural,Non-Border,LEON
Liberty,54.1,"1,762",49.2,195,43.4,640,46,40,0500000US48291,Liberty,LIBERTY,Urban,Non-Border,LIBERTY
Limestone,64.4,493,50.8,95,41.3,203,*,12,0500000US48293,Limestone,LIMESTONE,Rural,Non-Border,LIMESTONE
Lipscomb,66.3,61,--,0,34.7,35,--,0,0500000US48295,Lipscomb,LIPSCOMB,Rural,Non-Border,LIPSCOMB
Live Oak,68.9,177,--,0,53.1,188,*,**,0500000US48297,Live Oak,LIVE OAK,Rural,Non-Border,LIVE OAK
Llano,67.7,404,*,9,55.2,80,*,11,0500000US48299,Llano,LLANO,Rural,Non-Border,LLANO
Loving,--,0,--,0,--,0,--,0,0500000US48301,Loving,LOVING,Rural,Non-Border,LOVING
Lubbock Cnty,71.7,"6,783",53.2,877,57.2,"4,762",61.3,479,0500000US48303,Lubbock Cnty,LUBBOCK,Urban,Non-Border,LUBBOCK
Lynn,72,121,*,**,53.1,103,*,**,0500000US48305,Lynn,LYNN,Urban,Non-Border,LYNN
McCulloch,70.6,187,*,**,56.4,101,*,**,0500000US48307,McCulloch,MCCULLOCH,Rural,Non-Border,MCCULLOCH
McLennan,69.4,"5,400",54.4,"1,343",57.5,"3,253",65.3,324,0500000US48309,McLennan,MCLENNAN,Urban,Non-Border,MCLENNAN
McMullen,*,15,--,0,*,**,*,**,0500000US48311,McMullen,MCMULLEN,Rural,Border,MCMULLEN
Madison,68.8,238,48.3,56,47.5,96,*,**,0500000US48313,Madison,MADISON,Rural,Non-Border,MADISON
Marion,58,189,49.5,52,*,13,*,12,0500000US48315,Marion,MARION,Rural,Non-Border,MARION
Martin,56.8,108,*,**,49.2,131,*,**,0500000US48317,Martin,MARTIN,Urban,Non-Border,MARTIN
Mason,68.8,86,--,0,44.8,30,*,**,0500000US48319,Mason,MASON,Rural,Non-Border,MASON
Matagorda,64.2,568,47.6,111,53,734,64.8,35,0500000US48321,Matagorda,MATAGORDA,Rural,Non-Border,MATAGORDA
Maverick,80,88,*,**,77.6,"4,124",82.9,58,0500000US48323,Maverick,MAVERICK,Rural,Border,MAVERICK
Medina,73.9,732,*,**,62.7,921,68.2,30,0500000US48325,Medina,MEDINA,Urban,Non-Border,MEDINA
Menard,71.2,37,*,**,65.1,28,*,**,0500000US48327,Menard,MENARD,Rural,Non-Border,MENARD
Midland Cnty,72.3,"4,007",50.4,355,54.1,"3,553",51.3,271,0500000US48329,Midland Cnty,MIDLAND,Urban,Non-Border,MIDLAND
Milam,72.2,444,52.5,52,51.5,212,*,13,0500000US48331,Milam,MILAM,Rural,Non-Border,MILAM
Mills,69.4,102,--,0,56,28,*,**,0500000US48333,Mills,MILLS,Rural,Non-Border,MILLS
Mitchell,65.9,168,*,**,55.9,114,*,**,0500000US48335,Mitchell,MITCHELL,Rural,Non-Border,MITCHELL
Montague,65.3,579,*,**,51.4,94,*,15,0500000US48337,Montague,MONTAGUE,Rural,Non-Border,MONTAGUE
