geo,county,Border Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48381,RANDALL,Non-Border,8270,2,8162,6040,317552,248651,6788,53293,8820
0500000US48383,REAGAN,Non-Border,282,0,267,147,8316,3175,124,4964,53
0500000US48385,REAL,Border,170,1,163,86,8471,6212,55,2038,166
0500000US48387,RED RIVER,Non-Border,677,2,648,415,32698,24037,6020,2054,587
0500000US48389,REEVES,Border,879,0,809,599,27632,4489,484,22284,375
0500000US48391,REFUGIO,Non-Border,437,0,389,272,18522,8336,1050,8937,199
0500000US48393,ROBERTS,Non-Border,52,0,51,36,2292,2105,0,164,23
0500000US48395,ROBERTSON,Non-Border,1056,0,858,500,42607,24802,9570,7639,596
0500000US48397,ROCKWALL,Non-Border,4839,1,4662,3217,206184,153035,12104,32431,8614
0500000US48399,RUNNELS,Non-Border,554,1,537,338,26462,17384,384,8395,299
0500000US48401,RUSK,Non-Border,3241,4,2971,1818,126906,86446,20806,17283,2371
0500000US48403,SABINE,Non-Border,438,0,423,262,27857,24539,2000,861,457
0500000US48405,SAN AUGUSTINE,Non-Border,511,0,495,297,22585,15594,5399,1309,283
0500000US48407,SAN JACINTO,Non-Border,1391,1,1331,732,67176,51616,6942,7416,1202
0500000US48409,SAN PATRICIO,Non-Border,4763,5,4148,2696,163727,68071,2233,90345,3078
0500000US48411,SAN SABA,Non-Border,334,0,317,200,13880,9974,61,3636,209
0500000US48413,SCHLEICHER,Non-Border,194,0,187,118,8704,4700,73,3888,43
0500000US48415,SCURRY,Non-Border,1299,0,1279,601,39870,23871,1064,14399,536
0500000US48417,SHACKELFORD,Non-Border,156,0,151,101,8729,7734,36,825,134
0500000US48419,SHELBY,Non-Border,1799,2,1667,967,64804,42112,11911,10039,742
0500000US48421,SHERMAN,Non-Border,197,0,190,116,7450,4354,9,3023,64
0500000US48423,SMITH,Non-Border,15180,6,13117,6952,548642,339268,102663,92004,14707
0500000US48425,SOMERVELL,Non-Border,442,0,432,285,21863,17060,134,4177,492
0500000US48427,STARR,Border,6899,0,3659,2093,159248,6276,11,152567,394
0500000US48429,STEPHENS,Non-Border,516,0,510,336,23206,18058,315,4603,230
0500000US48431,STERLING,Non-Border,71,0,68,45,2888,1900,16,918,54
0500000US48433,STONEWALL,Non-Border,68,0,66,44,3823,3102,88,553,80
0500000US48435,SUTTON,Border,263,0,256,134,10492,4207,8,6232,45
0500000US48437,SWISHER,Non-Border,541,0,532,307,18471,9888,880,7420,283
0500000US48439,TARRANT,Non-Border,139128,52,129469,76387,4713193,2419844,733654,1245515,314180
0500000US48441,TAYLOR,Non-Border,10227,1,9903,6932,340376,228745,23478,75884,12269
0500000US48443,TERRELL,Border,61,0,55,37,2320,1167,6,1123,24
0500000US48445,TERRY,Non-Border,983,1,949,467,29753,13855,953,14711,234
0500000US48447,THROCKMORTON,Non-Border,75,0,75,59,4139,3603,34,433,69
0500000US48449,TITUS,Non-Border,2537,1,2493,1396,82355,40731,8065,32006,1553
0500000US48451,TOM GREEN,Non-Border,7798,2,7629,4898,284442,164166,10018,103111,7147
0500000US48453,TRAVIS,Non-Border,79216,17,77535,55825,2615793,1320642,223221,870613,201317
0500000US48455,TRINITY,Non-Border,709,1,678,441,37311,30373,3759,2564,615
0500000US48457,TYLER,Non-Border,1105,2,1073,680,50333,43930,4221,1413,769
0500000US48459,UPSHUR,Non-Border,2424,1,2175,1305,100320,82287,9244,6655,2134
0500000US48461,UPTON,Non-Border,250,0,214,168,8401,3966,135,4196,104
0500000US48463,UVALDE,Border,2019,0,1922,1230,67849,19523,216,47347,763
0500000US48465,VAL VERDE,Border,4376,0,3831,1609,122153,19305,1195,100354,1299
0500000US48467,VAN ZANDT,Non-Border,2835,2,2630,1507,134564,116700,3726,11531,2607
0500000US48469,VICTORIA,Non-Border,6464,3,6015,4349,224911,107394,13949,99026,4542
0500000US48471,WALKER,Non-Border,3099,2,2968,2048,140725,87627,27286,22104,3708
0500000US48473,WALLER,Non-Border,2973,1,2759,1821,111126,49522,29095,30690,1819
0500000US48475,WARD,Non-Border,850,0,768,622,28048,13156,1212,13287,393
0500000US48477,WASHINGTON,Non-Border,2064,2,1854,1094,86286,57584,15372,11430,1900
0500000US48479,WEBB,Border,27448,3,22990,19771,662002,18866,800,637795,4541
0500000US48481,WHARTON,Non-Border,2734,2,2552,1521,104894,50466,14961,38470,997
0500000US48483,WHEELER,Non-Border,387,0,368,219,14055,10043,333,3434,245
0500000US48485,WICHITA,Non-Border,8970,7,8760,6833,321089,223191,31410,52094,14394
0500000US48487,WILBARGER,Non-Border,841,0,818,589,33733,21548,2505,8820,860
0500000US48489,WILLACY,Border,1595,0,1398,923,50504,5018,203,45009,274
0500000US48491,WILLIAMSON,Non-Border,30781,9,29420,23830,1119514,712032,68849,261338,77295
0500000US48493,WILSON,Non-Border,2427,2,1922,1461,111209,65062,1601,42953,1593
0500000US48495,WINKLER,Non-Border,609,2,533,405,18005,7692,348,9715,250
0500000US48497,WISE,Non-Border,3835,3,3600,2203,149403,119740,1052,25710,2901
0500000US48499,WOOD,Non-Border,2059,2,1920,1148,107458,91998,5072,8592,1796
0500000US48501,YOAKUM,Non-Border,730,0,706,409,20134,7903,161,11837,233
0500000US48503,YOUNG,Non-Border,1146,0,1125,809,47381,38824,543,7283,731
0500000US48505,ZAPATA,Border,1501,0,1285,1092,35406,1990,17,33214,185
0500000US48507,ZAVALA,Border,1015,0,989,636,30005,1655,69,28205,76
