county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,Urbanization Status,Border Status
Van Zandt,61.2,"1,371",*,18,42.7,178,43.3,29,0500000US48467,Rural,Non-Border
Victoria Cnty,79.7,"1,944",56.4,154,66.5,"2,260",71.1,118,0500000US48469,Urban,Non-Border
Walker,70.8,"1,158",60.9,392,63.7,463,54.5,55,0500000US48471,Rural,Non-Border
Waller,73.5,771,55.1,248,61.6,805,64.7,33,0500000US48473,Urban,Non-Border
Ward,72.2,267,76.2,32,70.2,335,*,11,0500000US48475,Rural,Non-Border
Washington,71.8,671,52.4,185,41.7,228,60.8,31,0500000US48477,Rural,Non-Border
Webb,88.7,518,*,12,75.5,"18,923",75.5,74,0500000US48479,Urban,Border
Wharton,76.7,670,53.6,201,52,731,*,14,0500000US48481,Rural,Non-Border
Wheeler,61.9,133,*,**,54.2,77,*,**,0500000US48483,Rural,Non-Border
Wichita,80.3,"4,465",66.6,597,67.9,"1,397",74.4,276,0500000US48485,Urban,Non-Border
Wilbarger,77.2,336,50,29,65.8,192,*,15,0500000US48487,Rural,Non-Border
Willacy,56.8,25,*,**,61.9,887,*,**,0500000US48489,Rural,Border
Williamson,84.3,"14,392",70.6,"1,189",72.7,"6,049",84.1,"2,591",0500000US48491,Urban,Non-Border
Wilson,70.5,947,*,10,56.6,544,64.9,24,0500000US48493,Urban,Non-Border
Winkler,74.1,149,*,**,64.5,271,*,**,0500000US48495,Rural,Non-Border
Wise,67.2,"1,810",*,10,43.5,423,50,37,0500000US48497,Urban,Non-Border
Wood,62.4,955,40,24,46.7,162,45.5,20,0500000US48499,Rural,Non-Border
Yoakum,61.5,118,*,**,55.3,304,*,**,0500000US48501,Rural,Non-Border
Young,77,624,*,**,57.1,169,*,14,0500000US48503,Rural,Non-Border
Zapata,84,21,--,0,77,"1,002",*,**,0500000US48505,Rural,Border
Zavala,70.9,39,*,**,67.4,627,--,0,0500000US48507,Rural,Border
